Arabic,English
لا,no
من,from
في,in
أن,that
هذا,this
على,on
ما,what
أنا,I
هل,Do / Is / Are / Does
و,And
يا,Hey
ذلك,that
لقد,I have
لم,did not
ماذا,What
كان,He was
هنا,here
إلى,to
أنت,You
هو,he
هذه,This
عن,about / on
نعم,Yes
ان,that
هناك,there
كل,all
حسناً,Okay / Alright
ليس,not
كنت,I was
فقط,Only
شيء,something
الآن,now
مع,with
الذي,that
لكن,but
أجل,Okay
لك,for you
يجب,He should
لن,won't
كيف,how
حسنا,Okay / Alright
انا,I
لي,for me
إنه,It is / He is
سوف,will
نحن,we
إذا,if
كانت,She was
عندما,when
أي,any
قد,May / Might
لماذا,Why?
هي,she
الأمر,The matter / issue
أنه,that it
فى,in
حتى,until
بعد,after
كذلك,like that
أو,Or
ولكن,But
قبل,before
التي,that
انه,that it
إنها,that it
لو,if
ربما,maybe
أين,where
هيا,Let's go
تلك,That
أعرف,I know
الى,to
إن,that
يكون,He is
بعض,some
أريد,I want
أعتقد,I believe
انت,You
عليك,upon you
مثل,like
صحيح,correct
به,with him / in it
أنك,that you
الوقت,the time
بخير,fine
أعلم,I know
أحد,One
شخص,person
جداً,very
رجل,man
شكراً,Thanks
لذا,So
يمكن,can / may / could
كما,as
كلا,both
أكثر,more
يبدو,It seems
جيد,good